PDB	STRUC	k1	k2	f1	f2	R2
4g36	d1	4.316073777e-18	3.350498060e-02	2.794853409e-01	7.205146591e-01	0.948345103
2kx9	dom1_dom3	2.814650366e-03	5.804044616e-02	3.401517700e-01	6.598482300e-01	0.965907279
1ksf	d3	1.333661678e-06	7.885334413e-02	4.624291463e-01	5.375708537e-01	0.929079076
1sv6	d1	2.026134939e-05	2.534540109e-03	5.882040504e-01	4.117959496e-01	0.967423101
4kn7	dom3_dom5	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
1qf6	dom4_dom5	5.718783185e-06	3.460464268e-03	2.747824349e-01	7.252175651e-01	0.653746595
4kn7	dom3_dom8	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
4g36	d3	5.616767052e-24	2.435969054e-02	2.790037886e-01	7.209962114e-01	0.789037881
3pco	dom1_dom3	2.248384875e-29	3.865100702e-03	9.392747297e-01	6.072527033e-02	0.208850505
1u0b	dom1_dom3	6.058165242e-25	3.048363517e-04	9.567938024e-01	4.320619762e-02	0.880590891
1ksf	dom2_dom3	1.093009636e-07	3.356282703e-02	4.602101365e-01	5.397898635e-01	0.832468520
1fui	d3	3.555389169e-10	9.356299478e-08	9.999997085e-01	2.914864762e-07	nan
1ksf	d5	2.751242834e-16	7.670819704e-02	6.799531687e-01	3.200468313e-01	0.891563140
1fui	dom1_dom3	3.555389169e-10	9.356299478e-08	9.999997085e-01	2.914864762e-07	nan
4im7	d1	4.334674544e-05	2.710476346e-01	6.089913358e-01	3.910086642e-01	0.894572537
1eix	d1	2.305848840e-03	2.305909530e-03	9.118362974e-01	8.816370262e-02	0.982090209
3pco	dom2_dom3	2.248384875e-29	3.865100702e-03	9.392747297e-01	6.072527033e-02	0.208850505
1gqe	d1	3.367670772e-01	3.367636568e-01	9.787958824e-02	9.021204118e-01	0.993600020
4im7	dom1_dom2	4.060164413e-05	2.185039865e-03	6.001052099e-01	3.998947901e-01	0.942600213
1ng9	d2	1.705822231e-20	9.239629788e-02	3.998853711e-01	6.001146289e-01	0.982053746
2hnh	d3	1.008043163e-05	5.191699071e-02	9.382897143e-01	6.171028569e-02	0.646367162
2hnh	d5	1.008043163e-05	5.191699071e-02	9.382897143e-01	6.171028569e-02	0.646367162
4g36	dom2_dom4	4.113802552e-16	6.565512809e-02	2.799241378e-01	7.200758622e-01	0.989418022
4g36	dom1_dom2	4.347106149e-24	2.002143398e-02	2.787465411e-01	7.212534589e-01	0.771753829
4g36	dom1_dom4	3.448169335e-19	3.351005583e-02	2.794228413e-01	7.205771587e-01	0.915605805
2hnh	dom1_dom2	1.008043163e-05	5.191699071e-02	9.382897143e-01	6.171028569e-02	0.646367162
2id0	d2	5.651492844e-04	2.739063125e-02	3.193445835e-02	9.680655416e-01	0.974764429
1p91	d1	4.188890082e-06	2.557693876e-03	7.637382608e-01	2.362617392e-01	0.848485670
1t4b	d2	3.294196379e-30	3.756269408e-03	9.798829277e-01	2.011707226e-02	0.395734089
1gqe	d3	4.311878959e-03	3.686559042e-02	5.793057243e-01	4.206942757e-01	0.984753088
3pco	dom5_dom6	2.248384875e-29	3.865100702e-03	9.392747297e-01	6.072527033e-02	0.208850505
1svt	d2	2.271897134e-05	3.324936794e-02	5.482704126e-01	4.517295874e-01	0.800955379
4hr7	d2	2.517863874e-05	4.560824319e+00	9.173091551e-01	8.269084494e-02	0.134199612
2hnh	dom2_dom4	1.191982099e-28	1.684261146e-03	9.797198826e-01	2.028011738e-02	0.770629586
1zzm	d1	2.846534969e-03	2.847121310e-03	8.802684843e-01	1.197315157e-01	0.920816862
1w78	d2	5.442781012e-24	3.372750061e-03	3.548075418e-01	6.451924582e-01	0.778909574
1gqe	dom1_dom3	3.367670772e-01	3.367636568e-01	9.787958824e-02	9.021204118e-01	0.993600020
1ksf	dom4_dom5	5.354131476e-05	1.334088501e-02	5.815762302e-01	4.184237698e-01	0.875506291
1p7l	dom1_dom2	4.719205501e-06	3.000883072e-03	9.801984112e-01	1.980158879e-02	0.796614259
4hr7	dom1_dom3	3.805395294e-10	9.051235823e-08	9.999996970e-01	3.029640432e-07	nan
1svt	dom1_dom2	1.571621581e-27	3.355869812e-03	5.354179438e-01	4.645820562e-01	0.770943933
1p7l	d2	4.744385461e-06	3.065077487e-03	9.803645280e-01	1.963547197e-02	0.797789924
2qvr	d1	1.597450610e-03	1.597623162e-03	9.468855368e-01	5.311446315e-02	0.957043102
2hnh	dom3_dom5	1.282597602e-06	8.865265003e-04	9.079471725e-01	9.205282749e-02	0.939142728
2wiu	d1	2.082592790e-28	5.116614638e-03	4.388590838e-01	5.611409162e-01	0.968478697
2wiu	dom1_dom2	2.745235950e-28	5.033253637e-03	4.388606476e-01	5.611393524e-01	0.962460823
2qcu	d1	1.086308590e-19	3.450453180e-04	6.860418590e-01	3.139581410e-01	0.947047005
1fui	d1	3.555389169e-10	9.356299478e-08	9.999997085e-01	2.914864762e-07	nan
1duv	d2	4.851701896e-03	9.657675348e-21	9.038965935e-01	9.610340646e-02	0.751106873
1ger	d1	1.460321476e-17	5.673751498e-04	7.362942140e-02	9.263705786e-01	0.983571097
1p7l	dom2_dom3	4.719205501e-06	3.000883072e-03	9.801984112e-01	1.980158879e-02	0.796614259
2hnh	dom4_dom6	1.191982099e-28	1.684261146e-03	9.797198826e-01	2.028011738e-02	0.770629586
2qvr	dom1_dom2	2.256158974e-03	2.256576168e-03	9.278482413e-01	7.215175874e-02	0.911872180
3brq	d3	6.148599853e-05	6.602178680e-03	1.939409814e-01	8.060590186e-01	0.951418209
1yqq	d1	4.268053612e-30	1.087060125e-03	7.191236098e-01	2.808763902e-01	0.981477275
2ptq	d2	1.579250750e-17	1.007597942e-02	1.376564401e-01	8.623435599e-01	0.732435530
4kn7	d2	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
4kn7	d4	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
2ptq	dom1_dom2	1.895168976e-06	8.666122582e-02	1.212820957e-01	8.787179043e-01	0.918865874
1fts	d3	8.976104247e-07	3.066625617e-02	2.213198598e-01	7.786801402e-01	0.979545406
3brq	dom2_dom3	1.103751554e-05	4.076484718e-03	1.009335140e-01	8.990664860e-01	0.967131541
3asv	d1	6.369939683e-03	6.369975950e-03	7.049009787e-01	2.950990213e-01	0.837293606
1gyt	d1	6.051743982e-03	6.051848749e-03	6.789067689e-01	3.210932311e-01	0.927676723
1gyt	dom1_dom2	4.997617742e-20	5.113170344e-04	9.590726559e-01	4.092734410e-02	0.858527530
4kn7	d6	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
4kn7	d8	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
1uuf	dom1_dom2	1.282830960e-22	1.606756120e-04	4.431440854e-02	9.556855915e-01	0.990239548
1uuf	d1	1.235106006e-04	4.131604414e-04	9.643672864e-01	3.563271362e-02	0.993297777
2pth	d1	2.948119907e-04	1.091367716e-02	2.337634708e-01	7.662365292e-01	0.968530566
1ksf	d2	3.861819500e-15	2.255311535e-03	4.936581810e-01	5.063418190e-01	0.971033238
4kn7	dom1_dom5	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
2fym	dom1_dom2	4.855833431e-06	2.414824678e-03	3.609284378e-01	6.390715622e-01	0.939595958
2fym	d1	6.780480921e-06	2.543304050e-03	3.648839681e-01	6.351160319e-01	0.937606002
1fts	dom1_dom3	2.173061195e-07	1.465531525e-01	1.602300556e-01	8.397699444e-01	0.978362010
4kn7	dom2_dom3	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
3pco	d3	2.248384875e-29	3.865100702e-03	9.392747297e-01	6.072527033e-02	0.208850505
2r5n	dom1_dom2	1.312269783e-06	2.749876869e-03	7.896733083e-01	2.103266917e-01	0.882619056
1ng9	d3	1.705822231e-20	9.239629788e-02	3.998853711e-01	6.001146289e-01	0.982053746
4g36	d2	6.274574644e-06	4.117563599e-02	4.728838709e-01	5.271161291e-01	0.827872959
2r5n	d2	1.348368772e-06	2.728033909e-03	8.101590975e-01	1.898409025e-01	0.876731329
1ksf	d4	4.400128543e-18	2.144899527e-02	4.596089710e-01	5.403910290e-01	0.851438105
4kn7	dom2_dom5	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
3pco	dom1_dom2	2.248384875e-29	3.865100702e-03	9.392747297e-01	6.072527033e-02	0.208850505
3pco	d5	4.145263619e-06	4.434935230e-06	9.996562733e-01	3.437267037e-04	0.741533640
1ksf	dom3_dom4	1.434620381e-06	1.206692458e-01	4.626118500e-01	5.373881500e-01	0.854900637
1ksf	dom1_dom3	1.434620381e-06	1.206692458e-01	4.626118500e-01	5.373881500e-01	0.854900637
2h1f	dom1_dom2	8.718972191e-03	8.719061881e-03	2.319286270e-01	7.680713730e-01	0.628888375
1cli	d2	4.259350376e-20	3.728490797e-04	8.365733254e-01	1.634266746e-01	0.974491336
1ger	d3	5.941744864e-20	8.392700548e-04	1.340714307e-01	8.659285693e-01	0.989201835
4g36	d4	1.444229368e-19	3.350847120e-02	2.793990785e-01	7.206009215e-01	0.902050887
1ger	dom1_dom3	2.682127078e-29	7.951566982e-04	1.316705844e-01	8.683294156e-01	0.989194523
4kn7	dom2_dom7	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
3pco	dom1_dom4	2.248384875e-29	3.865100702e-03	9.392747297e-01	6.072527033e-02	0.208850505
1ng9	d1	4.469041181e-22	9.650393552e-03	3.967970514e-01	6.032029486e-01	0.758760930
2ww4	d2	1.459528750e-21	5.178994457e-03	1.366141991e-01	8.633858009e-01	0.502754664
3pco	dom3_dom4	2.248384875e-29	3.865100702e-03	9.392747297e-01	6.072527033e-02	0.208850505
4kn7	dom3_dom7	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
4kn7	dom5_dom7	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
4g36	dom2_dom3	6.683385994e-19	3.835156725e-02	2.795362193e-01	7.204637807e-01	0.934980864
4g36	dom1_dom3	1.050322626e-19	3.351318136e-02	2.793928656e-01	7.206071344e-01	0.893832974
2qcu	dom1_dom2	6.007622248e-25	5.012945065e-04	6.212548167e-01	3.787451833e-01	0.965675239
1u0b	d2	1.408230854e-07	9.666017384e-02	9.612235896e-01	3.877641041e-02	0.129401715
1t4b	d1	2.646836478e-28	2.947525622e-03	9.396759855e-01	6.032401451e-02	0.834078923
4im7	d2	7.737180183e-06	7.596441892e-02	3.554121228e-01	6.445878772e-01	0.785001326
1xru	d1	3.076464732e-05	3.482906203e-03	4.887796031e-01	5.112203969e-01	0.868316732
3m7m	d1	7.271449397e-05	1.050351488e-01	4.615689173e-02	9.538431083e-01	0.892332892
1ef9	d1	2.604607948e-05	2.808548305e-02	5.209735721e-02	9.479026428e-01	0.941197242
3m7m	d3	2.531377535e-04	2.774012004e-02	4.023650759e-02	9.597634924e-01	0.840896049
3m7m	dom1_dom3	2.811479999e-04	9.316913071e-02	4.550921124e-02	9.544907888e-01	0.903138396
1u0b	dom1_dom2	3.540007518e-22	7.418569433e-04	9.393708147e-01	6.062918534e-02	0.920894153
1ko5	d1	2.278656390e-03	2.279828975e-03	9.549978574e-01	4.500214257e-02	0.991746857
4dcm	d2	3.428884639e-03	3.428848544e-03	8.425107442e-01	1.574892558e-01	0.977683191
1u0b	dom2_dom3	2.253072377e-06	2.904257562e-02	8.985528181e-01	1.014471819e-01	0.392182854
1xru	dom1_dom2	2.944016505e-05	3.715049251e-03	5.093847077e-01	4.906152923e-01	0.811570958
3brq	d1	4.605114646e-02	2.396477879e+00	8.475233648e-01	1.524766352e-01	0.974185811
1q5x	d1	2.614903679e-05	6.414312934e-03	9.298673761e-02	9.070132624e-01	0.789379161
1w78	dom1_dom2	6.222077003e-28	3.527463957e-03	3.346318576e-01	6.653681424e-01	0.703512363
1gz0	d2	1.308404006e-10	5.460174999e-08	9.999998770e-01	1.230479808e-07	nan
2fek	d1	2.327295256e-02	2.327291115e-02	5.265547666e-01	4.734452334e-01	0.976937517
4hr7	d3	3.805395294e-10	9.051235823e-08	9.999996970e-01	3.029640432e-07	nan
4kn7	d5	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
4kn7	d3	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
1gqe	d2	2.927933491e-03	2.927885243e-03	8.757822953e-01	1.242177047e-01	0.960486296
2wiu	d2	8.153158003e-21	1.572982431e-02	4.595981128e-01	5.404018872e-01	0.974916994
4hr7	dom2_dom3	1.812067984e-05	9.191507451e+00	9.047594106e-01	9.524058940e-02	0.188901000
4fzw	d1	7.282998644e-06	1.198596847e-02	8.818652600e-02	9.118134740e-01	0.897604777
4e8b	d2	1.278107795e-10	5.526144793e-08	9.999998783e-01	1.216526990e-07	nan
4kn7	d7	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
4kn7	dom1_dom2	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
2o1c	d1	3.028703966e-20	4.229526840e-03	1.191021365e-01	8.808978635e-01	0.955919682
4fzw	dom1_dom2	3.422418121e-05	1.893234907e-02	9.970514624e-02	9.002948538e-01	0.797293208
